,id_site,no_couche,carbone_16_5_1,ph_eau_6_1,soil_composition,desc_code_occupation1,desc_code_occupation3,x_theo,y_theo
3795,2232,1,7.17,8.5,0.444,vignes vergers et cultures perennes arbustives,vigne (en culture pure),676909.2,6221679.76
3796,2232,2,4.24,8.6,0.481,vignes vergers et cultures perennes arbustives,vigne (en culture pure),676909.2,6221679.76
3797,2233,1,3.41,8.4,0.414,vignes vergers et cultures perennes arbustives,vigne (en culture pure),692890.55,6221545.37
3798,2234,1,2.58,9.2,0.079,milieux naturels particuliers,milieux littoraux et halophiles,708871.91,6221410.67
3799,2234,2,3.14,9.1,0.092,milieux naturels particuliers,milieux littoraux et halophiles,708871.91,6221410.67
3800,2237,1,7.37,6.4,0.243,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,964573.34,6219230.79
3801,2237,2,4.29,6.6,0.248,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,964573.34,6219230.79
3802,2238,1,22.6,6.4,0.249,surfaces boisees,forets de coniferes,980554.54,6219092.96
3803,2238,2,7.21,6.3,0.272,surfaces boisees,forets de coniferes,980554.54,6219092.96
3804,2239,1,28.9,6.3,0.726,surfaces boisees,forets caducifoliees,1220271.32,6217003.44
3805,2239,2,14.0,6.8,0.693,surfaces boisees,forets caducifoliees,1220271.32,6217003.44
3806,2243,1,58.3,4.3,0.63,surfaces boisees,forets mixtes,405091.76,6207957.0
3807,2243,2,30.1,4.6,0.574,surfaces boisees,forets mixtes,405091.76,6207957.0
3808,2244,1,45.1,4.5,0.611,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,421073.1,6207825.49
3809,2244,2,23.4,4.7,0.618,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,421073.1,6207825.49
3810,2246,1,131.0,7.8,0.819,surfaces boisees,forets caducifoliees,453035.92,6207562.04
3811,2246,2,83.3,7.9,0.785,surfaces boisees,forets caducifoliees,453035.92,6207562.04
3812,2247,1,125.0,4.8,0.627,milieux naturels particuliers,landes et fruticees,469017.4,6207430.06
3813,2248,1,43.9,5.5,0.845,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,484998.93,6207297.88
3814,2249,1,90.0,5.5,0.479,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,500980.44,6207165.54
3815,2249,2,47.6,5.8,0.405,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,500980.44,6207165.54
3816,2250,1,89.7,7.4,0.954,surfaces toujours en herbe,"STH peu productive ( parcours, landes, alpages)",516961.86,6207033.0
3817,2251,1,59.0,5.5,0.853,surfaces boisees,forets caducifoliees,532943.27,6206900.33
3818,2251,2,32.8,5.5,0.84,surfaces boisees,forets caducifoliees,532943.27,6206900.33
3819,2253,1,62.4,4.2,0.766,surfaces boisees,forets mixtes,564906.11,6206634.55
3820,2253,2,34.0,4.5,0.783,surfaces boisees,forets mixtes,564906.11,6206634.55
3821,2254,1,23.0,5.1,0.53,surfaces boisees,forets caducifoliees,580887.47,6206501.44
3822,2254,2,8.55,5.3,0.446,surfaces boisees,forets caducifoliees,580887.47,6206501.44
3823,2255,1,16.3,6.8,0.281,surfaces boisees,forets caducifoliees,596868.76,6206368.13
3824,2255,2,5.7,7.8,0.305,surfaces boisees,forets caducifoliees,596868.76,6206368.13
3825,2256,1,27.1,5.6,0.82,surfaces boisees,forets mixtes,612850.05,6206234.62
3826,2256,2,10.9,6.5,0.84,surfaces boisees,forets mixtes,612850.05,6206234.62
3827,2257,1,17.7,7.8,0.717,surfaces boisees,forets caducifoliees,628831.37,6206100.93
3828,2257,2,6.87,8.1,0.731,surfaces boisees,forets caducifoliees,628831.37,6206100.93
3829,2259,1,16.5,5.4,0.418,surfaces boisees,forets caducifoliees,660793.73,6205832.93
3830,2259,2,4.8,6.2,0.414,surfaces boisees,forets caducifoliees,660793.73,6205832.93
3831,2260,1,30.5,6.0,0.481,surfaces boisees,forets mixtes,676774.83,6205698.64
3832,2261,1,15.7,8.3,0.54,friches,friches,692755.95,6205564.19
3833,2264,1,6.91,8.4,0.37,surfaces toujours en herbe,Surface toujours en herbe (STH),1220130.68,6201022.57
3834,2264,2,4.59,8.45,0.381,surfaces toujours en herbe,Surface toujours en herbe (STH),1220130.68,6201022.57
3835,2269,1,54.3,6.0,0.339,milieux naturels particuliers,pelouses alpines et subalpines,452904.02,6191580.77
3836,2270,1,49.6,4.7,0.599,surfaces boisees,forets caducifoliees,468885.32,6191448.8
3837,2270,2,30.2,4.9,0.704,surfaces boisees,forets caducifoliees,468885.32,6191448.8
3838,2271,1,39.3,5.0,0.542,milieux naturels particuliers,prairies siliceuses seches,484866.66,6191316.64
3839,2272,1,43.9,6.0,0.639,surfaces boisees,forets caducifoliees,500848,6191184.31
3840,2272,2,21.3,5.9,0.638,surfaces boisees,forets caducifoliees,500848,6191184.31
3841,2276,1,81.3,7.2,0.818,surfaces boisees,forets caducifoliees,564773.05,6190653.37
3842,2276,2,45.9,7.5,0.792,surfaces boisees,forets caducifoliees,564773.05,6190653.37
3843,2277,1,59.9,4.9,0.455,milieux naturels particuliers,landes et fruticees,580754.24,6190520.28
3844,2277,2,37.2,4.9,0.477,milieux naturels particuliers,landes et fruticees,580754.24,6190520.28
3845,2278,1,74.4,4.9,0.424,milieux naturels particuliers,landes et fruticees,596735.34,6190386.96
3846,2278,2,37.4,5.0,0.329,milieux naturels particuliers,landes et fruticees,596735.34,6190386.96
3847,2279,1,42.7,7.86,0.513,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,612716.4,6190253.46
3848,2280,1,36.5,8.0,0.742,surfaces boisees,forets mixtes,628697.53,6190119.84
3849,2280,2,26.3,8.2,0.778,surfaces boisees,forets mixtes,628697.53,6190119.84
3850,2281,1,27.0,5.4,0.48,surfaces boisees,forets mixtes,644678.61,6189986.0
3851,2281,2,10.6,5.7,0.476,surfaces boisees,forets mixtes,644678.61,6189986.0
3852,2282,1,9.01,8.6,0.701,vignes vergers et cultures perennes arbustives,vigne (en culture pure),660659.56,6189851.91
3853,2283,1,3.94,8.4,0.512,vignes vergers et cultures perennes arbustives,vigne (en culture pure),676640.44,6189717.63
3854,2283,2,2.89,8.3,0.503,vignes vergers et cultures perennes arbustives,vigne (en culture pure),676640.44,6189717.63
3855,2284,1,8.04,8.4,0.557,successions culturales,jachere fixe,692621.34,6189583.16
3856,2287,1,9.31,5.73,0.275,surfaces toujours en herbe,STH 6-10 ans semee,1188028.71,6185322.71
3857,2287,2,3.86,5.85,0.244,surfaces toujours en herbe,STH 6-10 ans semee,1188028.71,6185322.71
3858,2288,1,8.38,6.69,0.405,successions culturales,jachere fixe,1204009.42,6185182.38
3859,2289,1,30.1,6.2,0.664,surfaces boisees,forets caducifoliees,1219990.07,6185041.84
3860,2289,2,14.8,6.6,0.69,surfaces boisees,forets caducifoliees,1219990.07,6185041.84
3861,2290,1,6.25,6.01,0.063,milieux naturels particuliers,dunes cotieres et plages de sable,1235970.71,6184901.04
3862,2290,2,3.99,6.36,0.059,milieux naturels particuliers,dunes cotieres et plages de sable,1235970.71,6184901.04
3863,2298,1,92.0,4.8,0.589,milieux naturels particuliers,prairies siliceuses seches,596601.94,6174405.99
3864,2300,1,46.7,5.4,0.415,surfaces boisees,peupleraies,628563.74,6174138.95
